"","text","favoriteCount","replyToSN","screenName","retweetCount","date.stamp","weekday"
"1"," Watch it anytime here:  Cheers! <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",1,"yoBoyAlex13","budlight",1,2017-10-23 02:54:17,"Mon"
"2"," Thine allegiance to the crown shall not go unnoticed.",1,"KenneyLaurie","budlight",0,2017-10-23 02:50:03,"Mon"
"3","  So, uh... DillyDilly?",2,"yoBoyAlex13","budlight",1,2017-10-23 02:49:33,"Mon"
"4"," You're welcome.",1,"photography139","budlight",1,2017-10-23 02:48:31,"Mon"
"5"," Bud Light &gt; staying safe from zombies",0,"megoldst150","budlight",0,2017-10-23 02:32:46,"Mon"
"6"," We all have that friend.",1,"em29me","budlight",0,2017-10-23 02:31:29,"Mon"
"7","  <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",1,"realOBF","budlight",0,2017-10-23 02:30:27,"Mon"
"8","   ",1,"zachbeal16","budlight",0,2017-10-23 02:27:35,"Mon"
"9"," Did you prepare wisely and stock up on Bud Light?!",1,"lypr306","budlight",0,2017-10-23 02:27:15,"Mon"
"10","  The zombie takeover is no joke!",1,"Belell_Kaeh","budlight",0,2017-10-23 02:26:49,"Mon"
"11"," Real friends put it all on the line for Bud Light.",1,"eisfabulous","budlight",0,2017-10-23 02:25:57,"Mon"
"12","  Worthy of a celebratory beer!",1,"zachbeal16","budlight",0,2017-10-23 02:25:02,"Mon"
"13","  This season's gonna be lit. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>",0,"JasonCarter03","budlight",0,2017-10-23 02:22:44,"Mon"
"14"," The people need to know!",1,"18fathoms","budlight",0,2017-10-23 02:17:47,"Mon"
"15"," On it.",2,"jordanwLIVE","budlight",1,2017-10-23 02:11:36,"Mon"
"16","  <ed><U+00A0><U+00BE><ed><U+00B4><U+0094>",9,"JaiSki_Monaaay","budlight",1,2017-10-23 02:08:07,"Mon"
"17"," Appreciate that, Lou! Keep an eye on the email you used to register for updates.",0,"sefrlw","budlight",0,2017-10-23 02:07:23,"Mon"
"18"," Due to an iOS update issue, it will only work if the glass is open. Keep an eye out for updates, we're working on a fix!",0,"jefbiz","budlight",0,2017-10-23 02:04:42,"Mon"
"19"," It will work if the app is open! Working on a fix, so stay tuned.",0,"MikieJ34","budlight",0,2017-10-23 02:03:47,"Mon"
"20"," We couldn't have done it without you<U+2728>",2,"TexMexTy","budlight",1,2017-10-23 01:57:09,"Mon"
"21"," You are wise beyond your years.",1,"theycallmeFogel","budlight",0,2017-10-23 01:56:08,"Mon"
"22"," Much love, Keith. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB>",0,"TedBear617","budlight",0,2017-10-23 01:55:18,"Mon"
"23"," It's a tale as old as time...",1,"KevinPhilpot","budlight",1,2017-10-23 01:54:57,"Mon"
"24"," Proud to consider you a friend we can count on.",1,"MightyQ88","budlight",0,2017-10-23 01:51:36,"Mon"
"25"," We live for the laughs.",1,"PratoCate","budlight",0,2017-10-23 01:51:03,"Mon"
"26","   We�re bringing Dilly back.",6,"GarrettVo","budlight",1,2017-10-23 01:43:28,"Mon"
"27"," <ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F><ed><U+00A0><U+00BD><ed><U+00B1><U+008F>",1,"THEJulianThomas","budlight",1,2017-10-23 01:38:08,"Mon"
"28","  There's definitely more where that came from. <ed><U+00A0><U+00BD><ed><U+00B8><U+008E>",2,"AkajohnnyB","budlight",1,2017-10-23 01:37:27,"Mon"
"29"," Clearly you have fine taste.",1,"carolannschmid2","budlight",0,2017-10-23 01:34:57,"Mon"
"30"," If you have the app open and in the foreground, your glass will light up. Working on a fix!",0,"sefrlw","budlight",0,2017-10-23 01:34:12,"Mon"
"31","   Hey Matt- Shoot us a DM so we can help you out.",0,"Mdog1619","budlight",0,2017-10-23 01:30:09,"Mon"
"32"," It's based on true events, kinda.",1,"MrCodageCheese","budlight",0,2017-10-23 01:29:51,"Mon"
"33"," Send us a DM so we can help you out!",0,"L_57Guinee","budlight",0,2017-10-23 01:29:37,"Mon"
"34","  Only the finer things for our fans.",1,"I_AmShe__","budlight",1,2017-10-23 01:28:59,"Mon"
"35"," We can feel the love from all the way over here.",0,"6tendesign","budlight",0,2017-10-23 01:28:08,"Mon"
"36"," Your kindness will not be forgotten.",3,"THEJulianThomas","budlight",1,2017-10-23 01:27:47,"Mon"
"37"," Best beer means best commercials. It's science.",0,"meaghanellis_","budlight",0,2017-10-23 01:27:17,"Mon"
"38","  ",2,"jordanwLIVE","budlight",1,2017-10-23 01:13:19,"Mon"
"39"," Couldn't we all?",5,"MikeEvans1043","budlight",1,2017-10-23 01:12:44,"Mon"
"40","  Diehards represent. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>",0,"cbmcnary","budlight",0,2017-10-23 00:53:04,"Mon"
"41"," Ahhhhhhhhhhh. <ed><U+00A0><U+00BD><ed><U+00B1><U+008C>",1,"samitkakkad","budlight",1,2017-10-23 00:40:04,"Mon"
"42"," Shoot us a DM so we can help you out!",0,"CountMC","budlight",0,2017-10-23 00:34:09,"Mon"
"43"," That Cowboys W today. <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>",1,"SigmaPsiPrncess","budlight",0,2017-10-22 23:21:58,"Sun"
"44","  'Twas there ever a moment that deserved a DillyDilly, it's this one.",1,"BDodwell","budlight",2,2017-10-22 23:17:50,"Sun"
"45","  Dilly Dilly, for the win!",5,"JasonVillalba","budlight",1,2017-10-22 23:05:37,"Sun"
"46"," We tried to think of a clever repsonse, but all we came up with was DillyDilly.",0,"Connor_J_Hughes","budlight",0,2017-10-22 23:01:46,"Sun"
"47"," Welcome to the club.",4,"J_Luppp","budlight",2,2017-10-22 23:01:04,"Sun"
"48"," YELL IT FOR THE PEOPLE IN THE BACK. DILLYDILLY",2,"TomDeNucci","budlight",1,2017-10-22 22:59:00,"Sun"
"49"," On our way! <ed><U+00A0><U+00BC><ed><U+00BF><U+0083><ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"ExiledLeafsFan","budlight",0,2017-10-22 22:16:56,"Sun"
"50"," That win deserves a cold one.<ed><U+00A0><U+00BC><ed><U+00BD><U+00BA>",1,"StanShady8","budlight",1,2017-10-22 22:15:37,"Sun"
"51"," Grab a cold one, this game just keeps getting better and better.",0,"JRSinger","budlight",0,2017-10-22 22:11:11,"Sun"
"52"," We're getting fired up! CINvsPIT",1,"angerbes29","budlight",0,2017-10-22 22:05:40,"Sun"
"53"," We like where your head�s at.",1,"Chadding_Tatum","budlight",1,2017-10-22 20:27:47,"Sun"
"54"," They�re on <ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5><ed><U+00A0><U+00BD><ed><U+00B4><U+00A5>.  Touchdown",2,"dawndziuba","budlight",1,2017-10-22 20:00:25,"Sun"
