"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@RyanBrownWJOX @RyonSmith Dilly Dilly!",FALSE,1,"RyanBrownWJOX",2017-10-25 00:57:13,FALSE,"922986101870080000","922990396493451264","20247932","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","budlight",0,FALSE,FALSE,NA,NA
"2","@LiterallyMatt  https://t.co/t6iAUbHTss",FALSE,0,"LiterallyMatt",2017-10-25 00:22:50,FALSE,"922978061024346112","922981741496819712","888251846","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","budlight",0,FALSE,FALSE,NA,NA
"3","@1Nikko_ Consider it your new mantra. #DillyDilly",FALSE,0,"1Nikko_",2017-10-25 00:17:09,FALSE,"922957864464994305","922980314938519552","238444382","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",0,FALSE,FALSE,NA,NA
"4","@Tcrain_1017 It’s definitely a thing. #DillyDilly",FALSE,0,"Tcrain_1017",2017-10-25 00:15:34,FALSE,"922959407285264384","922979913178771456","2308719800","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",0,FALSE,FALSE,NA,NA
"5","@jordrtall We’ll never send you to the Pit of Misery. <ed><U+00A0><U+00BD><ed><U+00B2><U+0095> #DillyDilly",FALSE,2,"jordrtall",2017-10-25 00:13:25,FALSE,"922959693810753536","922979375267577857","253860639","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",2,FALSE,FALSE,NA,NA
"6","@j_short27 Back ‘atcha. <ed><U+00A0><U+00BC><ed><U+00BD><U+00BB> #DillyDilly",FALSE,1,"j_short27",2017-10-25 00:10:36,FALSE,"922960250554241026","922978662986735616","197553624","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",0,FALSE,FALSE,NA,NA
"7","@sebibarra A crown fit for a king! #DillyDilly",FALSE,1,"sebibarra",2017-10-25 00:09:10,FALSE,"922966885670555648","922978305695014912","63901931","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",0,FALSE,FALSE,NA,NA
"8","@OverTheRYNE Please follow Sir Brad...for some ice cold Bud Lights! #DillyDilly",FALSE,2,"OverTheRYNE",2017-10-25 00:06:39,FALSE,"922971200808194048","922977672350851072","398801177","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",1,FALSE,FALSE,NA,NA
"9","@DaBears2017 #DillyDilly, Sir Franco.",FALSE,0,"DaBears2017",2017-10-25 00:05:02,FALSE,"922971996572356608","922977265692168193","904749667749171200","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",0,FALSE,FALSE,NA,NA
"10","@MrWhyKnot  https://t.co/gu5E4HM11P",FALSE,1,"MrWhyKnot",2017-10-25 00:03:13,FALSE,"922972224520376321","922976807334408192","1476139872","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","budlight",0,FALSE,FALSE,NA,NA
"11","@KRHollen Then you'll know it's real... <ed><U+00A0><U+00BD><ed><U+00B2><U+0099><ed><U+00A0><U+00BD><ed><U+00B2><U+00AF>",FALSE,11,"KRHollen",2017-10-24 20:57:15,FALSE,"922889785710137346","922930006849974277","227060214","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",2,FALSE,FALSE,NA,NA
"12","@Sethryy Let's make it happen.",FALSE,2,"Sethryy",2017-10-24 20:53:49,FALSE,"922912800116154369","922929143276359680","66743417","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"13","@brandon_riley04 Dilly Dilly, Sir Brandon!",FALSE,4,"brandon_riley04",2017-10-24 20:18:51,FALSE,"922917341326741504","922920344465186816","4056989121","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",3,FALSE,FALSE,NA,NA
"14","#FlyEaglesFly #DillyDilly https://t.co/cjQA0UjhqI",FALSE,45,NA,2017-10-24 20:11:33,FALSE,NA,"922918506818977792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","budlight",19,FALSE,FALSE,NA,NA
"15","@isume6 So you agree, right? #DillyDilly",FALSE,0,"isume6",2017-10-24 19:58:12,FALSE,"922899289164132353","922915145503748096","270859781","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",0,FALSE,FALSE,NA,NA
"16","@suhayyy Send us a DM so we can help you out!",FALSE,1,"suhayyy",2017-10-24 16:52:44,FALSE,"922653039860813824","922868472572534784","59307419","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"17","@mnovo8 That he is, Sir Mike. Dilly Dilly!",FALSE,1,"mnovo8",2017-10-24 16:47:56,FALSE,"922660494720290816","922867264734597121","55341072","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"18","Hey @MiamiDolphins, help us find this guy from Sunday's game... #DillyDilly https://t.co/wEvAJlIzgr",FALSE,212,NA,2017-10-24 16:46:50,FALSE,NA,"922866988606779392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","budlight",106,FALSE,FALSE,NA,NA
"19","@DeniseDenise215 #DillyDilly to that Eagles win last night! #FlyEaglesFly",FALSE,5,"DeniseDenise215",2017-10-24 16:46:34,FALSE,"922668834435293184","922866921858531329","1479758606","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",3,FALSE,FALSE,NA,NA
"20","@CombattDanny This has spared you the Pit of Misery, Sir Dan. #DillyDilly!",FALSE,1,"CombattDanny",2017-10-24 16:45:04,FALSE,"922671254376714240","922866543809236998","206751943","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"21","@OfficialReview Dilly Dilly here. Dilly Dilly there. Dilly Dilly everywhere!",FALSE,0,"OfficialReview",2017-10-24 16:43:28,FALSE,"922675557132795904","922866138584944640","66597848","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"22","@DonatoCamp87 You are the Dilly to our Dilly.",FALSE,1,"DonatoCamp87",2017-10-24 16:41:49,FALSE,"922682598698176512","922865725575974912","182904870","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"23","@TrevorPiepkorn Thou art a true friend of the crown, #DillyDilly!",FALSE,0,"TrevorPiepkorn",2017-10-24 16:41:34,FALSE,"922685032518500352","922865663223455745","250936589","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"24","@TedFlintKansas Ice-cold Bud Light &gt; ice-cold weather. Are we right? DILLY DILLY!",FALSE,20,"TedFlintKansas",2017-10-24 16:38:32,FALSE,"922796250029846528","922864897075089408","226263057","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"25","@_Hammer_3 To a true friend of the crown, Dilly Dilly!",FALSE,3,"_Hammer_3",2017-10-24 16:31:08,FALSE,"922858420218335233","922863035928268800","348589141","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"26","@JessLevo  'Tis ingrained in us all, and we are better people for it.",FALSE,0,"JessLevo",2017-10-24 16:30:20,FALSE,"922859596733173760","922862834442293248","38855452","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"27","@Brent_Ashcraft 'Tis ingrained in us all, and we are better people for it.",FALSE,1,"Brent_Ashcraft",2017-10-24 16:15:46,FALSE,"922846509170819072","922859169471979520","164052768","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","budlight",1,FALSE,FALSE,NA,NA
"28","Don't let Monday drag you down. https://t.co/OsBa741Q6j",FALSE,74,NA,2017-10-24 01:37:30,FALSE,NA,"922638144989728768",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","budlight",18,FALSE,FALSE,NA,NA
"29","@RachieD0387 You're the real MVP! Use BUD5 to save $5 on your next Bud Light, courtesy of Drizly https://t.co/NlGBKMmq55",FALSE,1,"RachieD0387",2017-10-24 00:55:06,FALSE,"922624180012617728","922627475200454658","360866854","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"30","@PhillyFan You're ready, Misty! #FlyEaglesFly",FALSE,2,"PhillyFan",2017-10-24 00:49:43,FALSE,"922509981601222657","922626122092892161","7097742","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"31","@FrankShallow We'll cheers to that!",FALSE,1,"FrankShallow",2017-10-24 00:43:30,FALSE,"922624228373024768","922624554836652032","428598002","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"32","@FrankShallow Grab a cold one, they're just getting started.",FALSE,1,"FrankShallow",2017-10-24 00:41:22,FALSE,"922623220087484416","922624021736370182","428598002","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"33","@mar1ne0811 To a true friend of the crown... Dilly Dilly!",FALSE,1,"mar1ne0811",2017-10-24 00:39:27,FALSE,"922622299970273280","922623538133168128","1628362267","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"34","@sunflowersusie2 You know it!",FALSE,1,"sunflowersusie2",2017-10-24 00:37:20,FALSE,"922621540369346560","922623004508606467","58017407","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"35","@britttlifts Aww yeah! <ed><U+00A0><U+00BC><ed><U+00BF><U+0088>",FALSE,1,"britttlifts",2017-10-24 00:36:26,FALSE,"922621740752297985","922622779903676417","284225406","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"36","@zylstra509 You are the Dilly to our Dilly.",FALSE,8,"zylstra509",2017-10-24 00:33:57,FALSE,"922510635417657345","922622154134441984","263759017","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"37","@unkle_dUb Oooh, it's catching on. Dilly Dilly!",FALSE,3,"unkle_dUb",2017-10-24 00:33:17,FALSE,"922523419656237057","922621985095548928","431150733","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
"38","@azphillygal We'll cheers to that!",FALSE,0,"azphillygal",2017-10-24 00:32:25,FALSE,"922621101737353216","922621766081662976","345163100","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"39","@mar1ne0811 Have you brought an offering for the crown?",FALSE,1,"mar1ne0811",2017-10-24 00:31:30,FALSE,"922526540402909184","922621537047506944","1628362267","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",0,FALSE,FALSE,NA,NA
"40","#DillyDilly https://t.co/EQekmKdqIc",FALSE,54,NA,2017-10-24 00:29:34,FALSE,NA,"922621050147414016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","budlight",8,FALSE,FALSE,NA,NA
"41","@Nathan_Lee21 Have you brought an offering for the crown, Sir Greene?",FALSE,5,"Nathan_Lee21",2017-10-24 00:26:17,FALSE,"922556420033335297","922620223538294784","2447976103","<a href=""http://www.earshotinc.com"" rel=""nofollow"">Earshot App</a>","budlight",1,FALSE,FALSE,NA,NA
