"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@LSUTigerEyeGuy Unfortunately, not.",FALSE,0,"LSUTigerEyeGuy",2017-10-25 16:48:51,FALSE,"922837039418048512","923229881827196933","787049913037107200","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"2","@chefDanRyan @RoccosTacos A legendary photo if there ever was one, Dan. #StayThirsty",FALSE,1,"chefDanRyan",2017-10-25 16:47:59,FALSE,"922874022022524929","923229663081754624","867435968","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",1,FALSE,FALSE,NA,NA
"3","@Cgbrown1000 What a brilliant thought, Chuck. Cheers to that.",FALSE,0,"Cgbrown1000",2017-10-25 16:46:27,FALSE,"922910018562695168","923229278296297472","37510835","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"4","@ZonaZoo15 Ah, the thrill of a new journey. The allure of adventure. You've left us speechless, dearest Corey.",FALSE,1,"ZonaZoo15",2017-10-25 16:43:34,FALSE,"922972380653391873","923228551498944513","2288459208","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"5","@Angelmtz_24 Fantastic choice, my friend. #StayThirsty.",FALSE,2,"Angelmtz_24",2017-10-25 16:38:22,FALSE,"922987600692080640","923227246474813442","124677507","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",1,FALSE,FALSE,NA,NA
"6","@LSUTigerEyeGuy Yes, friend. Don't forget that you may continue to enter multiple times, but no more than once a day. #StayThirsty.",FALSE,0,"LSUTigerEyeGuy",2017-10-24 14:31:25,FALSE,"922605736114388993","922832910536802304","787049913037107200","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"7","@OzCricketFan81 Can’t argue with that, Josh.",FALSE,0,"OzCricketFan81",2017-10-23 19:29:16,FALSE,"921974100066750464","922545479094886400","323492204","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"8","@casspa It makes us swell with pride to know a true adventurer such as yourself enjoys Dos Equis. #StayThirsty",FALSE,0,"casspa",2017-10-23 19:25:38,FALSE,"922185937278390272","922544561553068033","16535231","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"9","One spot in the @CFBHALL isn’t enough for @MattLeinartQB. Share your fan story w/ #MostInterestingFanSearch.… https://t.co/9R4ZxeHhpu",FALSE,216,NA,2017-10-21 14:04:58,TRUE,NA,"921739089057107968",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","DosEquis",26,FALSE,FALSE,NA,NA
"10","@westlingk Looking good. #StayThirsty.",FALSE,2,"westlingk",2017-10-19 14:46:54,FALSE,"920778588093214720","921024864265424903","112342155","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",1,FALSE,FALSE,NA,NA
"11","@LSUTigerEyeGuy Bravo, friend. Your journeys and stories must be fascinating. #StayThirsty.",FALSE,0,"LSUTigerEyeGuy",2017-10-18 14:21:59,FALSE,"920303171397935106","920656207412592642","787049913037107200","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"12","@FrogDaddyTCU @TCUCoachP @spitbloodtcu @FrogUpdates @BarstoolTCU @TCU_Athletics @TCU @TCUstudentsect @TCUSports… https://t.co/eU6wS9Tcea",FALSE,19,"FrogDaddyTCU",2017-10-18 14:20:05,TRUE,"920307048784564225","920655730939777024","2854724503","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",2,FALSE,FALSE,NA,NA
"13","@_mongoose @RobRiggle @MattLeinartQB @FrogDaddyTCU Hi Rikki. Although we appreciate the enthusiasm, valid entries f… https://t.co/Q7I1fZ2rEV",FALSE,1,"_mongoose",2017-10-18 14:17:20,TRUE,"920430374441967616","920655037453553664","251367987","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"14","@LSUTigerEyeGuy You may submit multiple times, but no more than once per day. Make it count.",FALSE,0,"LSUTigerEyeGuy",2017-10-16 15:45:53,FALSE,"919948608216158208","919952546118107137","787049913037107200","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"15","@waylon_lorta Cheers to a most interesting friendship.",FALSE,2,"waylon_lorta",2017-10-16 15:37:36,FALSE,"919334460197400578","919950462736125952","796220541476552705","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",1,FALSE,FALSE,NA,NA
"16","@MWSteelerFan @JessePalmerTV Cheers to tradition and dedication, Mark. #StayThirsty.",FALSE,0,"MWSteelerFan",2017-10-16 15:36:30,FALSE,"919355458112118784","919950184917950471","1683254010","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"17","@anaerrmazingg Sadly, Twitter cannot bring you Dos Equis. But if you'd like, you can find some here: https://t.co/juLqFM3hPw",FALSE,0,"anaerrmazingg",2017-10-16 15:33:43,FALSE,"919403138817204225","919949483596709888","33347131","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"18","@LSUTigerEyeGuy Bravo, friend. Your passion is spectacular.",FALSE,0,"LSUTigerEyeGuy",2017-10-16 15:27:43,FALSE,"919637210059636736","919947973978742785","787049913037107200","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"19","@davidgonz Complements any meal, any evening, any night. Cheers. #StayThirsty.",FALSE,0,"davidgonz",2017-10-16 15:24:24,FALSE,"919747618976256002","919947139345801217","34109366","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"20","@TheBrianM @JessePalmerTV We can’t help but be flattered, Brian. #StayThirsty.",FALSE,1,"TheBrianM",2017-10-16 15:19:42,FALSE,"919933538295844864","919945958036770817","48695528","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"21","@natashafeiger @MattLeinartQB You, dear madam, clearly have a most refined palate. Bravo.",FALSE,1,"natashafeiger",2017-10-14 19:23:46,FALSE,"919228010200489987","919282601487224834","25880995","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"22","Can you prove Rob wrong? Share your #CFB fan story w/ #MostInterestingFanSearch for a chance to win.… https://t.co/aCAd36dC6r",FALSE,42,NA,2017-10-12 13:00:05,TRUE,NA,"918461270428229632",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","DosEquis",13,FALSE,FALSE,NA,NA
"23","@SarahJaneHerb We see what you did there.",FALSE,1,"SarahJaneHerb",2017-10-10 18:39:40,FALSE,"917411429384376321","917821953636995072","547353337","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"24","@JoshManning3 @JRodgers11 Apologies. Please try: https://t.co/xTzDo1IPRU. Cheers.",FALSE,0,"JoshManning3",2017-10-04 19:12:18,FALSE,"915651703101378565","915655838227927041","344596057","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"25","@FeedUrFrequency @JRodgers11 Unfortunately, only one person can be the most interesting fan. If that's one of you,… https://t.co/Bf90QYt8IY",FALSE,0,"FeedUrFrequency",2017-10-04 19:11:34,TRUE,"913883330696769536","915655652026052608","258388506","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"26","@JoshManning3 @JRodgers11 Are you the Most Interesting Fan? Head over to https://t.co/fcNXAgd35V and share your sto… https://t.co/Isp9lpWR1h",FALSE,1,"JoshManning3",2017-10-04 18:52:10,TRUE,"911287418598428673","915650772821532672","344596057","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",1,FALSE,FALSE,NA,NA
"27","@SarahJaneHerb Bravo, friends. #StayThirsty.",FALSE,0,"SarahJaneHerb",2017-10-04 14:18:43,FALSE,"915354512629620737","915581956183744512","547353337","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"28","@CowboyRangerFan Hi Ricky. In order to have a valid entry submission our contest, you must use the hashtag #MostInterestingFanSearch.",FALSE,2,"CowboyRangerFan",2017-10-04 14:17:33,FALSE,"915371612085657601","915581660858605569","700413337","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"29","@olcrimson Hi there. In order to have a valid entry submission our contest, you must use the hashtag #MostInterestingFanSearch.",FALSE,0,"olcrimson",2017-10-04 14:17:07,FALSE,"915371178881048576","915581554570743808","391393950","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"30","@olcrimson You seem like a dedicated fan. Tell us why you are the Most Interesting Fan by using… https://t.co/WB1LE9QYXJ",FALSE,3,"olcrimson",2017-10-03 21:22:16,TRUE,"914146748507070465","915326156236353537","391393950","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"31","@dm___mvm You can still submit an entry, friend. Go to https://t.co/qQc25aylBC to learn more. #StayThirsty.",FALSE,1,"dm___mvm",2017-10-02 15:36:22,FALSE,"914005902247780352","914876719185715200","246138007","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"32","@carla7007 Is that so? Tell us why you are the Most Interesting Fan using #MostInterestingFanSearch and an optional… https://t.co/cjUuxhMFD2",FALSE,1,"carla7007",2017-10-02 15:34:46,TRUE,"914368982924140544","914876318902308865","2965044582","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"33","@ThatDallasGuy87 Why, thank you, Charlie. Your words are greatly appreciated.",FALSE,1,"ThatDallasGuy87",2017-10-02 15:23:06,FALSE,"914630320720371712","914873384172998657","253836754","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"34","@d_sevi12 @AaronChewning Can’t argue with that.",FALSE,2,"xCadillac_12",2017-10-02 15:15:02,FALSE,"914858833612279809","914871350120116224","721705486232367105","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"35","@3dan2 True fan spirit right there. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>",FALSE,3,"3dan2",2017-09-30 16:27:34,FALSE,"914153586355032064","914164829275000832","272090209","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"36","Hey #CFB fans! Share your story w/ #MostInterestingFanSearch for a chance to win 2 CFP Nat’l Championship tickets… https://t.co/kAiPMJoKNB",FALSE,21,NA,2017-09-30 15:00:09,TRUE,NA,"914142829768728577",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","DosEquis",12,FALSE,FALSE,NA,NA
"37","@klyman841 Kick back, relax and #StayThirsty.",FALSE,1,"klyman841",2017-09-28 15:45:55,FALSE,"913214932187041792","913429573525700609","46348479","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",1,FALSE,FALSE,NA,NA
"38","@tscarb129 You sound like a dedicated fan, Sue. #StayThirsty.",FALSE,0,"tscarb129",2017-09-25 14:47:47,FALSE,"911774607899856896","912327781341679617","2427598831","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"39","@olcrimson @PickSixPreviews @Twitter We’d like to chat about this, but need to know you’re 21+. Please follow us to confirm.",FALSE,3,"olcrimson",2017-09-25 14:38:01,FALSE,"912033248745869315","912325321814396928","391393950","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"40","@SkySigninOff Bravo, friend. Simply fantastic.",FALSE,1,"SkySigninOff",2017-09-21 15:52:04,FALSE,"910731416958316544","910894406575824901","2388317774","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"41","@Jehsee182 We agree with you. But that goes without saying.",FALSE,1,"Jehsee182",2017-09-18 15:27:18,FALSE,"909236301697650688","909801008292823042","74076723","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"42","@riality_check_ @JRodgers11 Your dedication fascinates us. Cheers.",FALSE,17,"riality_check_",2017-09-18 15:25:25,FALSE,"909295869765152770","909800534483329024","618716270","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",0,FALSE,FALSE,NA,NA
"43","@WallyAction @BoonieWest #StayThirsty.",FALSE,2,"WallyAction",2017-09-18 15:24:18,FALSE,"909459193467248640","909800252215107584","1219803846","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",1,FALSE,FALSE,NA,NA
"44","@I_write_stuff Your enjoyment is one of our greatest pleasures. #StayThirsty.",FALSE,0,"I_write_stuff",2017-09-18 15:22:00,FALSE,"909560749965676545","909799674940411904","494709627","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DosEquis",1,FALSE,FALSE,NA,NA
