"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@SeoulSausage That's what we do ������",FALSE,0,"SeoulSausage",2017-10-25 02:03:36,FALSE,"922827704881127431","923007103698026496","160842774","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"2","@ladybasco @SeoulSausage Sounds like a deal ������",FALSE,0,"ladybasco",2017-10-24 02:00:21,FALSE,"922476172881027072","922643896609460224","28417618","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"3","Hong Kong, are you ready to #GoDareYourself? 

Keep your eyes peeled for our fantastic new contest launching worldw… https://t.co/D8LoDiT69e",FALSE,3,NA,2017-10-24 01:31:54,TRUE,NA,"922636738928951296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tsingtao",0,FALSE,FALSE,NA,NA
"4","@lindotski Big love straight back at you! ������",FALSE,0,"lindotski",2017-10-23 02:17:19,FALSE,"921686793115897856","922285780113948672","2911589925","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"5","@jrsp20 @DonnieDoesWorld @Spencer_Brooks It sure does!",FALSE,1,"jrsp20",2017-10-23 02:16:41,FALSE,"921817308158242816","922285619904163847","405852079","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"6","Sometimes you have to ride out the storm to finally see the light. #TheRightMove https://t.co/sjmGjF3NbB",FALSE,20,NA,2017-10-20 04:02:51,FALSE,NA,"921225172308213760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tsingtao",4,FALSE,FALSE,NA,NA
"7","@michudaura A good movie and a Tsingtao, the best way to be :)",FALSE,2,"michudaura",2017-10-19 01:44:56,FALSE,"920127053130645504","920828077940277248","127050073","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"8","@drewurl @engelauren Cheers to you Yung ������",FALSE,0,"drewurl",2017-10-18 02:30:52,FALSE,"918679523863928833","920477250688036864","434025600","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"9","@whwy24 Glad to be of service Wang ☺️",FALSE,0,"whwy24",2017-10-18 02:27:30,FALSE,"920149103589318656","920476401043755008","1131550550","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"10","That refreshing Tsingtao taste is universal!
 
But how do you say cheers in your language? https://t.co/vTTlKrrlqB",FALSE,8,NA,2017-10-18 02:12:35,FALSE,NA,"920472648982790144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",1,FALSE,FALSE,NA,NA
"11","Where are we most likely to find you sippin' on a Tsingtao?",FALSE,50,NA,2017-10-17 02:06:19,FALSE,NA,"920108682288939008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",5,FALSE,FALSE,NA,NA
"12","Showing off your choice of beer for all to see? Definitely #TheRightMove! :P https://t.co/9yD5FSBe5o",FALSE,4,NA,2017-10-13 10:04:18,FALSE,NA,"918779422131462144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA
"13","Time for friends, time for Tsingtao!  #TheRightMove https://t.co/xMUr5f8Pxr",FALSE,1,NA,2017-10-11 01:40:25,FALSE,NA,"917927837335564288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",1,FALSE,FALSE,NA,NA
"14","@BJS_Official If only... cheers Barry ������",FALSE,1,"BJS_Official",2017-10-11 01:29:13,FALSE,"917639720397627392","917925018843189248","406111421","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"15","@rubesann Woooaaa ������������!!!!",FALSE,1,"rubesann",2017-10-10 01:07:07,FALSE,"915422044098928640","917557071498932225","277537626","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"16","@shanghaishaw @empitty @empitty knows ;)",FALSE,1,"shanghaishaw",2017-10-10 01:06:20,FALSE,"917373099632246784","917556870751162369","768995599","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA
"17","Ladies' night is always a blast with a box of Tsingtao on your arm! https://t.co/s58gShbM2g",FALSE,3,NA,2017-10-09 12:33:28,FALSE,NA,"917367407206834177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA
