"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","reformattedtext"
"1","@bencoshi @Remsanddams Tsingtao a tout moment !",FALSE,2,"bencoshi",2017-11-01 09:57:55,FALSE,"919857259500449792","925663184245198848","197195208","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",1,FALSE,FALSE,NA,NA,"@bencoshi @Remsanddams Tsingtao a tout moment !"
"2","@MoveEat ������",FALSE,0,"MoveEat",2017-11-01 09:57:30,FALSE,"923052440076931072","925663078976507904","131871433","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@MoveEat <ed><a0><bd><ed><b8><8f>"
"3","@franckstassi @Malteurop ������",FALSE,0,"franckstassi",2017-11-01 09:57:05,FALSE,"923436509075853312","925662971661037569","116535904","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@franckstassi @Malteurop <ed><a0><bd><ed><b8><ae>"
"4","@Alexis09781005 @agatheauproux Santé !",FALSE,0,"Alexis09781005",2017-11-01 09:56:35,FALSE,"923911109001859074","925662849476722688","744773744867016704","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@Alexis09781005 @agatheauproux Sant<c3><a9> !"
"5","@aaronasas Siempre cae bien una Tsingtao después de un día pesado!",FALSE,0,"aaronasas",2017-11-01 08:07:37,FALSE,"923545770023968770","925635426202914816","1523661289","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@aaronasas Siempre cae bien una Tsingtao despu<c3><a9>s de un d<c3><ad>a pesado!"
"6","@alvarezmsc Tsingtao contiene 20 ppm de gluten, lo que significa que es adecuado para celiacos. Sin embargo, te rec… https://t.co/OPznTxd7QP",FALSE,0,"alvarezmsc",2017-11-01 08:02:42,TRUE,"925474996088115201","925634189180985344","382644933","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@alvarezmsc Tsingtao contiene 20 ppm de gluten, lo que significa que es adecuado para celiacos. Sin embargo, te rec<e2><80><a6> https://t.co/OPznTxd7QP"
"7","@whwy24 Ultimate fear! ������������",FALSE,0,"whwy24",2017-10-31 01:58:23,FALSE,"924924082696499200","925180117437026306","1131550550","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@whwy24 Ultimate fear! <ed><a0><bd><ed><b8><a9><ed><a0><bd><ed><b8><a9>"
"8","@sianosborne1 Cheers to you Sian for all your hard work!  ������☺️",FALSE,0,"sianosborne1",2017-10-31 01:54:24,FALSE,"925019623665184768","925179116311195648","102799614","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@sianosborne1 Cheers to you Sian for all your hard work!  <ed><a0><bc><ed><bd><bb><e2><98><ba><ef><b8><8f>"
"9","@Chief_Ali22 @YesJulz Enjoy ������",FALSE,2,"Chief_Ali22",2017-10-31 01:49:32,FALSE,"925108567861891072","925177891226312704","377049056","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@Chief_Ali22 @YesJulz Enjoy <ed><a0><bc><ed><bd><bb>"
"10","How will you #GoScareYourself this Halloween? ������ https://t.co/dVXLyddjhY",FALSE,149,NA,2017-10-30 08:40:21,FALSE,NA,"924918885932965888",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",27,FALSE,FALSE,NA,NA,"How will you #GoScareYourself this Halloween? <ed><a0><bc><ed><be><83> https://t.co/dVXLyddjhY"
"11","Tsingtao is a beer for those not afraid to grab hold of life’s opportunities.

Keep your eyes peeled for our upcomi… https://t.co/nY0bZlwQDO",FALSE,1,NA,2017-10-30 08:22:28,TRUE,NA,"924914385721507840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"Tsingtao is a beer for those not afraid to grab hold of life<e2><80><99>s opportunities.

Keep your eyes peeled for our upcomi<e2><80><a6> https://t.co/nY0bZlwQDO"
"12","@Rpaka15 ٩(๑´3｀๑)۶",FALSE,0,"Rpaka15",2017-10-30 06:02:22,FALSE,"924579520803356672","924879130973282304","3811084152","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",1,FALSE,FALSE,NA,NA,"@Rpaka15 <d9><a9>(<e0><b9><91><c2><b4>3<ef><bd><80><e0><b9><91>)<db><b6>"
"13","@i_luv_u_kai (´◔౪◔)۶",FALSE,0,"i_luv_u_kai",2017-10-30 06:01:39,FALSE,"916639776609943553","924878949988966400","745116843904376838","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@i_luv_u_kai (<c2><b4><e2><97><94><e0><b1><aa><e2><97><94>)<db><b6>"
"14","@Doonggle_zzi 오호라 (´◔౪◔)۶",FALSE,1,"Doonggle_zzi",2017-10-30 06:01:31,FALSE,"917428597547085824","924878915209854976","3079473950","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@Doonggle_zzi <ec><98><a4><ed><98><b8><eb><9d><bc> (<c2><b4><e2><97><94><e0><b1><aa><e2><97><94>)<db><b6>"
"15","@rusiean ㅇㅅ&lt;)b",FALSE,0,"rusiean",2017-10-30 06:01:09,FALSE,"919211078633996288","924878824428396544","696648722676064257","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@rusiean <e3><85><87><e3><85><85>&lt;)b"
"16","@punia9558 (๑•́ ₃ •̀๑)",FALSE,0,"punia9558",2017-10-30 06:00:52,FALSE,"922039368633556993","924878751132872706","2545238611","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@punia9558 (<e0><b9><91><e2><80><a2><cc><81> <e2><82><83> <e2><80><a2><cc><80><e0><b9><91>)"
"17","@waaaaatcher (&gt;▼&lt;)bb",FALSE,0,"waaaaatcher",2017-10-30 06:00:33,FALSE,"923488698926219265","924878672984604672","729245762681327617","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@waaaaatcher (&gt;<e2><96><bc>&lt;)bb"
"18","@bluegomi_15 (´･Д･)」",FALSE,0,"bluegomi_15",2017-10-30 06:00:23,FALSE,"923907956114046977","924878630936707073","747992974592610304","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@bluegomi_15 (<c2><b4><ef><bd><a5><d0><94><ef><bd><a5>)<e3><80><8d>"
"19","@Kkuniss @i3works (ó﹏ò｡)",FALSE,1,"Kkuniss",2017-10-30 06:00:14,FALSE,"923896901065351169","924878591954862080","2273979386","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@Kkuniss @i3works (<c3><b3><ef><b9><8f><c3><b2><ef><bd><a1>)"
"20","@Tesory9697 맞아요. 중국에선 실온보관 맥주가 기본옵션이라..ㄷㄷ",FALSE,0,"Tesory9697",2017-10-30 05:59:45,FALSE,"924865935105597440","924878472555532288","141100561","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@Tesory9697 <eb><a7><9e><ec><95><84><ec><9a><94>. <ec><a4><91><ea><b5><ad><ec><97><90><ec><84><a0> <ec><8b><a4><ec><98><a8><eb><b3><b4><ea><b4><80> <eb><a7><a5><ec><a3><bc><ea><b0><80> <ea><b8><b0><eb><b3><b8><ec><98><b5><ec><85><98><ec><9d><b4><eb><9d><bc>..<e3><84><b7><e3><84><b7>"
"21","@KangKyuSung @nool4th 솔까 버*와이저나 하*네켄 정도 인지도는 안되지만 나름 인지도 있습니다 ⊿(´･_･`)",FALSE,0,"KangKyuSung",2017-10-30 05:59:07,FALSE,"924840666198245377","924878310475051008","124211034","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@KangKyuSung @nool4th <ec><86><94><ea><b9><8c> <eb><b2><84>*<ec><99><80><ec><9d><b4><ec><a0><80><eb><82><98> <ed><95><98>*<eb><84><a4><ec><bc><84> <ec><a0><95><eb><8f><84> <ec><9d><b8><ec><a7><80><eb><8f><84><eb><8a><94> <ec><95><88><eb><90><98><ec><a7><80><eb><a7><8c> <eb><82><98><eb><a6><84> <ec><9d><b8><ec><a7><80><eb><8f><84> <ec><9e><88><ec><8a><b5><eb><8b><88><eb><8b><a4> <e2><8a><bf>(<c2><b4><ef><bd><a5>_<ef><bd><a5>`)"
"22","@JKS_miniimo @iheemang づ_ど)",FALSE,0,"JKS_miniimo",2017-10-30 01:50:00,FALSE,"924176485430083584","924815619697938433","327474525","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@JKS_miniimo @iheemang <e3><81><a5>_<e3><81><a9>)"
"23","@Bath_113 @peachdani961210 ヾ(๑╹◡╹)ﾉ""",FALSE,0,"Bath_113",2017-10-30 01:49:46,FALSE,"923882155825971200","924815558624681984","904135901210480640","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@Bath_113 @peachdani961210 <e3><83><be>(<e0><b9><91><e2><95><b9><e2><97><a1><e2><95><b9>)<ef><be><89>"""
"24","@bullhandang___ 나름 신선하지 않았나요? ヽ(；▽；)ノ",FALSE,0,"bullhandang___",2017-10-30 01:49:19,FALSE,"923864512091930624","924815446808727552","890070737251438592","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@bullhandang___ <eb><82><98><eb><a6><84> <ec><8b><a0><ec><84><a0><ed><95><98><ec><a7><80> <ec><95><8a><ec><95><98><eb><82><98><ec><9a><94>? <e3><83><bd>(<ef><bc><9b><e2><96><bd><ef><bc><9b>)<e3><83><8e>"
"25","@peachdani961210 @Bath_113 ( •̀ㅁ•́;)  레알참트루...",FALSE,0,"peachdani961210",2017-10-30 01:48:57,FALSE,"923881373235949569","924815355272314880","896590358234058753","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@peachdani961210 @Bath_113 ( <e2><80><a2><cc><80><e3><85><81><e2><80><a2><cc><81>;)  <eb><a0><88><ec><95><8c><ec><b0><b8><ed><8a><b8><eb><a3><a8>..."
"26","@chickahoy69 하긴 2014년에 흥한걸 아직도 미는건 좀 올드하죠. 여기보면 예전에 레전드반열에 올라서 https://t.co/OQv3DEF5Mw",FALSE,1,"chickahoy69",2017-10-30 01:45:59,FALSE,"924665451338129408","924814606752661504","408970468","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",1,FALSE,FALSE,NA,NA,"@chickahoy69 <ed><95><98><ea><b8><b4> 2014<eb><85><84><ec><97><90> <ed><9d><a5><ed><95><9c><ea><b1><b8> <ec><95><84><ec><a7><81><eb><8f><84> <eb><af><b8><eb><8a><94><ea><b1><b4> <ec><a2><80> <ec><98><ac><eb><93><9c><ed><95><98><ec><a3><a0>. <ec><97><ac><ea><b8><b0><eb><b3><b4><eb><a9><b4> <ec><98><88><ec><a0><84><ec><97><90> <eb><a0><88><ec><a0><84><eb><93><9c><eb><b0><98><ec><97><b4><ec><97><90> <ec><98><ac><eb><9d><bc><ec><84><9c> https://t.co/OQv3DEF5Mw"
"27","@musicwhatmusic Cheers for the love! ������",FALSE,0,"musicwhatmusic",2017-10-30 00:58:18,FALSE,"924346974798786561","924802607801085952","127492538","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@musicwhatmusic Cheers for the love! <ed><a0><bc><ed><bd><bb>"
"28","It’s spin the bottle time. Ready to #GoDareYourself? 

@tag the lucky someone you want to pucker up for ;) https://t.co/W87T6Bvpox",FALSE,8,NA,2017-10-27 05:39:01,FALSE,NA,"923786090275733505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",3,FALSE,FALSE,NA,NA,"It<e2><80><99>s spin the bottle time. Ready to #GoDareYourself? 

@tag the lucky someone you want to pucker up for ;) https://t.co/W87T6Bvpox"
"29","@indiattitude @Attitude_Events Props to you Amit! ������ ������",FALSE,0,"indiattitude",2017-10-27 01:49:46,FALSE,"923438109236195329","923728395971846144","322479927","<a href=""https://manager.agorapulse.com"" rel=""nofollow"">AgoraPulse Manager</a>","tsingtao",0,FALSE,FALSE,NA,NA,"@indiattitude @Attitude_Events Props to you Amit! <ed><a0><bc><ed><bd><ba> <ed><a0><bc><ed><bd><ba>"
"30","Living that #DigitalNomad dream! 

Where would you love to spend your working day? https://t.co/JxT6kAMb4z",FALSE,4,NA,2017-10-26 01:51:03,FALSE,NA,"923366333479186432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tsingtao",2,FALSE,FALSE,NA,NA,"Living that #DigitalNomad dream! 

Where would you love to spend your working day? https://t.co/JxT6kAMb4z"
