"","description","r.encoding","unicode"
"1","grinning face","<ed><a0><bd><ed><b8><80>",U+1F600
"2","grinning face with smiling eyes","<ed><a0><bd><ed><b8><81>",U+1F601
"3","face with tears of joy","<ed><a0><bd><ed><b8><82>",U+1F602
"4","rolling on the floor laughing","<ed><a0><be><ed><b4><a3>",U+1F923
"5","smiling face with open mouth","<ed><a0><bd><ed><b8><83>",U+1F603
"6","smiling face with open mouth &amp- smiling eyes","<ed><a0><bd><ed><b8><84>",U+1F604
"7","smiling face with open mouth &amp- cold sweat","<ed><a0><bd><ed><b8><85>",U+1F605
"8","smiling face with open mouth &amp- closed eyes","<ed><a0><bd><ed><b8><86>",U+1F606
"9","winking face","<ed><a0><bd><ed><b8><89>",U+1F609
"10","smiling face with smiling eyes","<ed><a0><bd><ed><b8><8a>",U+1F60A
"11","face savouring delicious food","<ed><a0><bd><ed><b8><8b>",U+1F60B
"12","smiling face with sunglasses","<ed><a0><bd><ed><b8><8e>",U+1F60E
"13","smiling face with heart-eyes","<ed><a0><bd><ed><b8><8d>",U+1F60D
"14","face blowing a kiss","<ed><a0><bd><ed><b8><98>",U+1F618
"15","kissing face","<ed><a0><bd><ed><b8><97>",U+1F617
"16","kissing face with smiling eyes","<ed><a0><bd><ed><b8><99>",U+1F619
"17","kissing face with closed eyes","<ed><a0><bd><ed><b8><9a>",U+1F61A
"18","smiling face","<e2><98><ba>",U+263A
"19","slightly smiling face","<ed><a0><bd><ed><b9><82>",U+1F642
"20","hugging face","<ed><a0><be><ed><b4><97>",U+1F917
"21","thinking face","<ed><a0><be><ed><b4><94>",U+1F914
"22","neutral face","<ed><a0><bd><ed><b8><90>",U+1F610
"23","expressionless face","<ed><a0><bd><ed><b8><91>",U+1F611
"24","face without mouth","<ed><a0><bd><ed><b8><b6>",U+1F636
"25","face with rolling eyes","<ed><a0><bd><ed><b9><84>",U+1F644
"26","smirking face","<ed><a0><bd><ed><b8><8f>",U+1F60F
"27","persevering face","<ed><a0><bd><ed><b8><a3>",U+1F623
"28","disappointed but relieved face","<ed><a0><bd><ed><b8><a5>",U+1F625
"29","face with open mouth","<ed><a0><bd><ed><b8><ae>",U+1F62E
"30","zipper-mouth face","<ed><a0><be><ed><b4><90>",U+1F910
"31","hushed face","<ed><a0><bd><ed><b8><af>",U+1F62F
"32","sleepy face","<ed><a0><bd><ed><b8><aa>",U+1F62A
"33","tired face","<ed><a0><bd><ed><b8><ab>",U+1F62B
"34","sleeping face","<ed><a0><bd><ed><b8><b4>",U+1F634
"35","relieved face","<ed><a0><bd><ed><b8><8c>",U+1F60C
"36","nerd face","<ed><a0><be><ed><b4><93>",U+1F913
"37","face with stuck-out tongue","<ed><a0><bd><ed><b8><9b>",U+1F61B
"38","face with stuck-out tongue &amp- winking eye","<ed><a0><bd><ed><b8><9c>",U+1F61C
"39","face with stuck-out tongue &amp- closed eyes","<ed><a0><bd><ed><b8><9d>",U+1F61D
"40","drooling face","<ed><a0><be><ed><b4><a4>",U+1F924
"41","unamused face","<ed><a0><bd><ed><b8><92>",U+1F612
"42","face with cold sweat","<ed><a0><bd><ed><b8><93>",U+1F613
"43","pensive face","<ed><a0><bd><ed><b8><94>",U+1F614
"44","confused face","<ed><a0><bd><ed><b8><95>",U+1F615
"45","upside-down face","<ed><a0><bd><ed><b9><83>",U+1F643
"46","money-mouth face","<ed><a0><be><ed><b4><91>",U+1F911
"47","astonished face","<ed><a0><bd><ed><b8><b2>",U+1F632
"48","frowning face","<e2><98><b9>",U+2639
"49","slightly frowning face","<ed><a0><bd><ed><b9><81>",U+1F641
"50","confounded face","<ed><a0><bd><ed><b8><96>",U+1F616
"51","disappointed face","<ed><a0><bd><ed><b8><9e>",U+1F61E
"52","worried face","<ed><a0><bd><ed><b8><9f>",U+1F61F
"53","face with steam from nose","<ed><a0><bd><ed><b8><a4>",U+1F624
"54","crying face","<ed><a0><bd><ed><b8><a2>",U+1F622
"55","loudly crying face","<ed><a0><bd><ed><b8><ad>",U+1F62D
"56","frowning face with open mouth","<ed><a0><bd><ed><b8><a6>",U+1F626
"57","anguished face","<ed><a0><bd><ed><b8><a7>",U+1F627
"58","fearful face","<ed><a0><bd><ed><b8><a8>",U+1F628
"59","weary face","<ed><a0><bd><ed><b8><a9>",U+1F629
"60","grimacing face","<ed><a0><bd><ed><b8><ac>",U+1F62C
"61","face with open mouth &amp- cold sweat","<ed><a0><bd><ed><b8><b0>",U+1F630
"62","face screaming in fear","<ed><a0><bd><ed><b8><b1>",U+1F631
"63","flushed face","<ed><a0><bd><ed><b8><b3>",U+1F633
"64","dizzy face","<ed><a0><bd><ed><b8><b5>",U+1F635
"65","pouting face","<ed><a0><bd><ed><b8><a1>",U+1F621
"66","angry face","<ed><a0><bd><ed><b8><a0>",U+1F620
"67","smiling face with halo","<ed><a0><bd><ed><b8><87>",U+1F607
"68","cowboy hat face","<ed><a0><be><ed><b4><a0>",U+1F920
