text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,reformattedtext
"@Notteham @revnatscider @Albertsons @GuinnessIreland Glad you found it, Jason. Hope you enjoy! Next time you need h… https://t.co/XLrZ3iljGx",FALSE,1.0,Notteham,2017-10-31T18:36:08Z,TRUE,925369653068578816,925431210154844167,31222715,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,"@Notteham @revnatscider @Albertsons @GuinnessIreland Glad you found it, Jason. Hope you enjoy! Next time you need h<e2><80><a6> https://t.co/XLrZ3iljGx"
@TheHusbandInTow @HusbandInTow @LimerickHour @Limerick_ie @limerickcitybiz @fennessyspub Looks like a great way to… https://t.co/6HlnERomDl,FALSE,1.0,TheHusbandInTow,2017-10-31T18:35:42Z,TRUE,925356227999293440,925431101715226624,103349566,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,1.0,FALSE,FALSE,NA,NA,@TheHusbandInTow @HusbandInTow @LimerickHour @Limerick_ie @limerickcitybiz @fennessyspub Looks like a great way to<e2><80><a6> https://t.co/6HlnERomDl
Try to contain your horror. #TheUnfilled #HappyHalloween #Guinness https://t.co/WEJ1JcVKr2,FALSE,78.0,NA,2017-10-31T17:42:24Z,FALSE,NA,925417686569545728,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,28.0,FALSE,FALSE,NA,NA,Try to contain your horror. #TheUnfilled #HappyHalloween #Guinness https://t.co/WEJ1JcVKr2
"@brian_schonover We aren’t one of those dog rating accounts, but 12/10 for the stout with a snout. Sláinte!",FALSE,0.0,brian_schonover,2017-10-30T20:04:33Z,FALSE,924691270475354113,925091073541722112,946895900,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,"@brian_schonover We aren<e2><80><99>t one of those dog rating accounts, but 12/10 for the stout with a snout. Sl<c3><a1>inte!"
"@landofandy Thanks for coming by, Andy! Glad you enjoyed the beers. Hope you'll be able to come back soon and try o… https://t.co/ewnPDAOS63",FALSE,1.0,landofandy,2017-10-30T20:03:55Z,TRUE,924712856267915264,925090914061647872,558449333,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,"@landofandy Thanks for coming by, Andy! Glad you enjoyed the beers. Hope you'll be able to come back soon and try o<e2><80><a6> https://t.co/ewnPDAOS63"
"@pitkin_ryan @andygoh He’s right, Ryan. You found our widget, which recreates the Guinness pour you’d get at a pub:… https://t.co/uZH2NKTnSt",FALSE,0.0,pitkin_ryan,2017-10-30T20:03:02Z,TRUE,924730316698333186,925090689469296641,1681260343,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,"@pitkin_ryan @andygoh He<e2><80><99>s right, Ryan. You found our widget, which recreates the Guinness pour you<e2><80><99>d get at a pub:<e2><80><a6> https://t.co/uZH2NKTnSt"
@Zarf__ Thanks for coming by! What did you think of the beers?,FALSE,0.0,Zarf__,2017-10-29T22:39:38Z,FALSE,924340076804485120,924767711586119681,470614049,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,@Zarf__ Thanks for coming by! What did you think of the beers?
@KadetheFearless Glad you could get your hands on our mix pack! Which stout is your favorite?,FALSE,0.0,KadetheFearless,2017-10-29T22:39:11Z,FALSE,924508329363288064,924767598230810630,29886393,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,@KadetheFearless Glad you could get your hands on our mix pack! Which stout is your favorite?
@SillySheep The Open Gate Brewery &amp; Barrel House will only be in Baltimore. Hope you can visit when our larger brewery is open in 2018!,FALSE,0.0,SillySheep,2017-10-29T22:38:37Z,FALSE,924313231736307713,924767457629364224,16805830,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,@SillySheep The Open Gate Brewery &amp; Barrel House will only be in Baltimore. Hope you can visit when our larger brewery is open in 2018!
@dpwac Glad you could stop in Danielle! Which beer did you enjoy the most?,FALSE,0.0,dpwac,2017-10-28T17:10:26Z,FALSE,924004013636575232,924322476204658688,15814824,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,@dpwac Glad you could stop in Danielle! Which beer did you enjoy the most?
"@DanGhiringhelli Thanks for coming by last night, Dan! What did you think?",FALSE,0.0,DanGhiringhelli,2017-10-28T17:10:07Z,FALSE,924022487343562752,924322396580077568,2883408263,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GuinnessUS,0.0,FALSE,FALSE,NA,NA,"@DanGhiringhelli Thanks for coming by last night, Dan! What did you think?"
"Baltimoreans, swing through any Friday, Saturday or Sunday! More info here: https://t.co/rKv0m4esBV  ^Heather, Guinness Correspondent",FALSE,18.0,GuinnessUS,2017-10-28T16:31:18Z,FALSE,924312492234469376,924312630235459584,128282644,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GuinnessUS,6.0,FALSE,FALSE,NA,NA,"Baltimoreans, swing through any Friday, Saturday or Sunday! More info here: https://t.co/rKv0m4esBV  ^Heather, Guinness Correspondent"
You don't have to go to Dublin for a pint at a Guinness brewery anymore! Our test taproom is finally open! ^Heather… https://t.co/1CvYcnQ5el,FALSE,79.0,NA,2017-10-28T16:30:45Z,TRUE,NA,924312492234469376,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GuinnessUS,20.0,FALSE,FALSE,NA,NA,You don't have to go to Dublin for a pint at a Guinness brewery anymore! Our test taproom is finally open! ^Heather<e2><80><a6> https://t.co/1CvYcnQ5el
"If you're in Baltimore, come by on any Fri, Sat or Sun. More here: https://t.co/rKv0m4esBV ^Heather, Guinness Correspondent",FALSE,16.0,GuinnessUS,2017-10-28T00:02:49Z,FALSE,924063803788136448,924063868191756290,128282644,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GuinnessUS,6.0,FALSE,FALSE,NA,NA,"If you're in Baltimore, come by on any Fri, Sat or Sun. More here: https://t.co/rKv0m4esBV ^Heather, Guinness Correspondent"
"Our test taproom in Baltimore is open, and I'm here tonight! See my InstaStory: https://t.co/7ljmtZoSqU ^Heather, G… https://t.co/zHa8vErllI",FALSE,73.0,NA,2017-10-28T00:02:33Z,TRUE,NA,924063803788136448,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",GuinnessUS,18.0,FALSE,FALSE,NA,NA,"Our test taproom in Baltimore is open, and I'm here tonight! See my InstaStory: https://t.co/7ljmtZoSqU ^Heather, G<e2><80><a6> https://t.co/zHa8vErllI"
